DATE,OPEN,HIGH,LOW,CLOSE
11-01-1989,0.377232,0.379464,0.368304,0.376116
12-01-1989,0.377232,0.383929,0.375,0.381696
13-01-1989,0.381696,0.388393,0.378348,0.386161
16-01-1989,0.386161,0.392857,0.383929,0.390625
17-01-1989,0.386161,0.388393,0.357143,0.360491
18-01-1989,0.363839,0.367188,0.352679,0.354911
19-01-1989,0.361607,0.366071,0.357143,0.361607
20-01-1989,0.361607,0.370536,0.359375,0.366071
23-01-1989,0.363839,0.368304,0.363839,0.366071
24-01-1989,0.366071,0.372768,0.363839,0.371652
25-01-1989,0.372768,0.375,0.366071,0.370536
26-01-1989,0.363839,0.376116,0.362723,0.372768
27-01-1989,0.341518,0.350446,0.323661,0.335938
30-01-1989,0.335938,0.339286,0.332589,0.333705
31-01-1989,0.332589,0.337054,0.328125,0.337054
01-02-1989,0.337054,0.353795,0.333705,0.350446
02-02-1989,0.352679,0.359375,0.350446,0.354911
03-02-1989,0.357143,0.359375,0.348214,0.350446
06-02-1989,0.352679,0.352679,0.341518,0.34375
07-02-1989,0.341518,0.350446,0.341518,0.348214
08-02-1989,0.348214,0.352679,0.339286,0.341518
09-02-1989,0.341518,0.348214,0.339286,0.341518
10-02-1989,0.341518,0.341518,0.330357,0.332589
13-02-1989,0.328125,0.332589,0.328125,0.330357
14-02-1989,0.329241,0.330357,0.314732,0.319196
15-02-1989,0.319196,0.323661,0.316964,0.323661
16-02-1989,0.323661,0.332589,0.321429,0.324777
17-02-1989,0.323661,0.330357,0.323661,0.328125
21-02-1989,0.329241,0.337054,0.328125,0.334821
22-02-1989,0.332589,0.334821,0.325893,0.328125
23-02-1989,0.325893,0.330357,0.323661,0.328125
24-02-1989,0.330357,0.330357,0.321429,0.321429
27-02-1989,0.321429,0.325893,0.319196,0.325893
28-02-1989,0.325893,0.328125,0.321429,0.323661
01-03-1989,0.323661,0.325893,0.316964,0.321429
02-03-1989,0.319196,0.323661,0.310268,0.3125
03-03-1989,0.314732,0.314732,0.303571,0.310268
06-03-1989,0.3125,0.320313,0.308036,0.316964
07-03-1989,0.316964,0.321429,0.3125,0.319196
08-03-1989,0.31808,0.323661,0.314732,0.314732
09-03-1989,0.314732,0.319196,0.308036,0.308036
10-03-1989,0.308036,0.3125,0.305804,0.3125
13-03-1989,0.3125,0.316964,0.310268,0.3125
14-03-1989,0.3125,0.316964,0.311384,0.314732
15-03-1989,0.314732,0.316964,0.310268,0.3125
16-03-1989,0.3125,0.316964,0.308036,0.314732
17-03-1989,0.308036,0.319196,0.303571,0.311384
20-03-1989,0.3125,0.314732,0.308036,0.311384
21-03-1989,0.316964,0.316964,0.310268,0.311384
22-03-1989,0.305804,0.310268,0.301339,0.302455
23-03-1989,0.303571,0.308036,0.301339,0.30692
27-03-1989,0.305804,0.308036,0.299107,0.301339
28-03-1989,0.303571,0.308036,0.303571,0.303571
29-03-1989,0.303571,0.308036,0.303571,0.305804
30-03-1989,0.305804,0.3125,0.303571,0.310268
31-03-1989,0.3125,0.319196,0.310268,0.31808
03-04-1989,0.316964,0.323661,0.310268,0.3125
04-04-1989,0.308036,0.311384,0.302455,0.308036
05-04-1989,0.308036,0.314732,0.305804,0.3125
06-04-1989,0.310268,0.322545,0.308036,0.321429
07-04-1989,0.321429,0.334821,0.321429,0.333705
10-04-1989,0.332589,0.339286,0.328125,0.330357
11-04-1989,0.334821,0.339286,0.330357,0.337054
12-04-1989,0.341518,0.350446,0.33817,0.34375
13-04-1989,0.345982,0.352679,0.341518,0.34375
